0001,AAE,9.03,38.77,"Addis Ababa, Ethiopia",WWSSN
0002,AAM,42.30,-83.66,"Ann Arbor, Michigan",WWSSN
0004,ADE,-34.97,138.71,"Adelaide, Australia",WWSSN
0005,AFI,-13.91,-171.78,"Apia, Western Samoa",WWSSN
0006,AKU,65.69,-18.11,"Akureyri, Scotland",WWSSN
0007,ALQ,34.94,-106.46,"Albuquerque, New Mexico",WWSSN
0707,ALQ Lo Gain,34.94,-106.46,"Albuquerque, New Mexico",WWSSN
0112,ANP,25.18,121.52,"Anpu, Taiwan",WWSSN
0009,ANT,-23.70,-70.42,"Antofagusta, Chile",WWSSN
0010,AQU,42.35,13.40,"L'Aquila, Italy",WWSSN
0011,ARE,-16.46,-71.49,"Arequipa, Peru",WWSSN
0012,ATL,33.43,-84.33,"Atlanta, Georgia",WWSSN
0013,ATU,37.97,23.72,"Athens, Greece",WWSSN
0014,BAG,16.41,120.58,"Baguio, Philippines",WWSSN
0016,BDF,-15.66,-47.90,"Brasilia, Brazil",WWSSN
0015,BEC,32.38,-64.68,Bermuda,WWSSN
0017,BHP,8.96,-79.56,"Balboa Heights, Panama",WWSSN
0018,BKS,37.88,-122.24,"Berkeley, California",WWSSN
0019,BLA,37.21,-80.42,"Blacksburg, Virginia",WWSSN
0021,BOG,4.62,-74.07,"Bogota, Columbia",WWSSN
0022,BOZ,45.60,-111.63,"Bozeman, Montana",WWSSN
0023,BUL,-20.14,28.61,"Bulawayo, Zimbabwe",WWSSN
0024,CAR,10.51,-66.93,"Caracas, Venezuela",WWSSN
0025,CCG,77.17,-61.13,"Camp Century, Greenland",WWSSN
0026,CHG,18.79,98.98,"Chiengmai, Thailand",WWSSN
0027,CMC,67.83,-115.08,"Coppermine, Canada",WWSSN
0028,COL,64.90,-147.79,"College, Alaska",WWSSN
0029,COP,55.68,12.43,"Copenhagen, Denmark",WWSSN
0030,COR,44.59,-123.30,"Corvallis, Oregon",WWSSN
0031,CTA,-20.09,146.25,"Charters Towers, Australia",WWSSN
0032,DAL,32.85,-96.78,"Dallas, Texas",WWSSN
0033,DAV,7.09,125.57,"Davao, Philippines",WWSSN
0036,DUG,40.20,-112.81,"Dugway, Utah",WWSSN
0034,EIL,29.55,34.95,"Eilat, Israel",WWSSN
0038,ESK,55.32,-3.21,"Eskdalemuir, Scotland",WWSSN
0039,FLO,38.80,-90.37,"Florissant, Missouri",WWSSN
0040,GDH,69.25,-53.53,"Godhavn, Greenland",WWSSN
0041,GEO,38.90,-77.07,"Georgetown, D.C.",WWSSN
0042,GIE,-0.73,-90.30,"Galapagos Islands, Ecuador",WWSSN
0043,GOL,39.70,-105.37,"Golden, Colorado",WWSSN
0037,GRM,-33.31,26.57,"Grahamstown, South Africa",WWSSN
0085,GSC,35.30,-116.81,"Goldstone, California",WWSSN
0044,GUA,13.54,144.91,"Guam, Marianas Islands",WWSSN
0045,HKC,22.30,114.17,Hong Kong,WWSSN
0047,HLW,29.86,31.34,"Helwan, Arab Republic of Egypt",WWSSN
0048,HNR,-9.43,159.95,"Honiara, Solomon Islands",WWSSN
0049,HOW,-9.43,159.95,"Howrah, India",WWSSN
9999,INU,35.35,137.02,"Inuyama, Honshu",WWSSN
