Year,Mo,Dy,Hr:Mn,Lat,Long,Depth,Magnitude,,FER,Deaths, Place/Name  
1969,11,21,2:05,1.97,94.57,10,7.6,Mw,P&S,705,   
1972,7,30,21:45,56.69,-136.09,7,7.6,Mw,P&S,20,   
1962,5,21,21:15,-20.00,-177.37,437,7.5,Mw,HRV,181,   
1963,9,15,0:46,-10.47,165.76,35,7.5,Mw,P&S,184,   
1963,9,17,19:20,-10.28,165.41,29,7.5,Mw,P&S,184,   
1964,5,26,10:59,-56.24,-27.63,116,7.5,mB,ABE1,153,   
1965,3,14,15:53,36.4,70.71,209,7.5,mB,ABE1,718,   
1968,4,1,0:42,32.48,132.19,29,7.5,Mw,P&S,236,   
1970,7,31,17:08,-1.48,-72.55,644,7.5,mB,ABE1,103,   
1972,1,25,2:06,22.55,122.32,10,7.5,Mw,P&S,243,   
1972,2,29,9:23,33.37,140.88,58,7.5,Mw,P&S,211,   
1973,10,6,15:07,-60.95,-21.62,15,7.5,Ms,ISC,732,   
1974,7,4,19:30,45.18,93.93,15,7.5,UK,B&D,334,   
1963,3,26,9:48,-30.11,-177.53,35,7.4,Mw,P&S,178,   
1965,3,28,16:33,-32.49,-71.21,71,7.4,mB,ABE1,135,Chile: 337 La Gigua
1965,8,23,19:46,16.17,-95.84,10,7.4,Mw,P&S,60,   
1967,7,22,16:56,40.62,30.74,4,7.4,Mw,P&S,366,Turkey: 173 Mudurnu 
1967,12,21,2:25,-21.86,-69.94,44,7.4,Mw,P&S,123,   
1970,3,28,21:02,39.17,29.54,24,7.4,UK,B&D,366,Turkey: 1086 Gediz EQ
1962,5,11,14:11,17.18,-99.64,35,7.3,Mw,P&S,59,   
1966,6,15,1:32,-10.11,161.02,13,7.3,Mw,P&S,193,   
1967,3,13,16:06,-40.19,-74.84,23,7.3,UK,BRK,143,   
1968,8,14,22:14,0.06,119.69,17,7.3,Mw,P&S,265,Indonesia(Celebes) 392  
1968,8,18,18:38,-10.20,159.95,542,7.3,Mw,HRV,193,   
1968,10,7,19:20,26.29,140.68,518,7.3,Mw,HRV,212,   
1970,1,10,12:07,6.78,126.68,59,7.3,Ms,ABE1,259,   
1970,4,29,14:01,14.45,-92.76,50,7.3,Mw,P&S,69,   
1970,6,11,16:46,-59.41,159.22,15,7.3,Mw,P&S,167,   
1970,8,30,17:46,52.34,151.61,649,7.3,Mw,HRV,663,   
1962,4,12,0:52,38.07,142.74,24,7.2,Mw,P&S,228,   
1962,7,26,8:14,7.49,-82.78,23,7.2,Mw,P&S,83,   
1962,8,3,8:56,-23.28,-68.01,113,7.2,mB,ABE1,123,   
1962,12,8,21:27,-25.81,-63.27,588,7.2,Mw,HRV,129,   
1963,4,16,1:29,-1.13,128,34,7.2,Mw,P&S,267,   
1965,8,11,3:40,-15.47,166.98,17,7.2,Mw,P&S,186,   
1966,3,20,1:42,0.84,29.86,15,7.2,UK,B&D,567,Uganda/Zaire 200  
1967,2,9,15:24,2.89,-74.80,41,7.2,Mw,P&S,103,Colombia 98  
1968,2,19,22:45,39.37,24.94,8,7.2,Mw,P&S,365,   
1968,5,23,17:24,-41.74,172.12,46,7.2,Mw,P&S,162,Inangahua NZ:  
1968,5,28,13:27,-2.92,139.4,63,7.2,mB,ABE1,197,   
1968,8,31,10:47,34.03,58.96,11,7.2,Mw,P&S,348,Iran: 15000 Dasht-i Biyaz
1969,7,18,5:24,38.41,119.45,10,7.2,Mw,P&S,658,   
1969,8,17,20:14,24.84,-109.68,32,7.2,UK,B&D,49,   
1969,12,25,21:32,15.72,-59.64,11,7.2,Mw,P&S,92,   
1970,4,7,5:34,15.77,121.65,29,7.2,Mw,P&S,249,Luzon Philippines:  
1974,5,8,23:33,34.57,138.77,11,7.2,UK,B&D,230,Japan: 30 Izuhanto -oki
1963,12,15,19:34,-4.76,108.05,666,7.1,Mw,HRV,275,   
1964,2,6,13:07,55.64,-156.07,3,7.1,Mw,P&S,17,   
1964,4,23,3:32,-5.42,133.93,5,7.1,Mw,P&S,204,   
1964,11,17,8:15,-5.75,150.72,50,7.1,Mw,P&S,192,   
1966,6,7,13:59,11.3,139.63,49,7.1,UK,B&D,209,   
1968,8,3,4:54,25.64,128.46,29,7.1,Mw,P&S,238,   
1968,10,23,21:04,-3.37,143.31,9,7.1,Mw,P&S,200,   
1969,1,30,10:29,4.76,127.43,73,7.1,mB,ABE1,263,   
1969,2,11,22:08,41.42,79.23,13,7.1,UK,B&D,320,   
1970,12,10,4:34,-4.07,-80.66,19,7.1,Mw,P&S,110,Peru/Ecuador 81  
1962,3,17,20:47,10.8,-43.30,15,7,mB,ABE1,403,   
1964,10,18,12:32,-7.18,123.8,581,7,Mw,HRV,280,   
1965,9,12,22:02,-6.47,70.74,29,7,UK,BRK,426,   
1965,11,13,4:33,43.84,87.75,51,7,UK,B&D,332,   
1966,10,19,8:01,-1.58,-15.39,19,7,UK,B&D,407,   
1967,2,15,16:11,-9.12,-71.32,600,7,Mw,HRV,112,   
1967,11,23,8:35,14.44,51.98,12,7,UK,B&D,415,   
1967,12,27,9:17,-21.21,-68.18,116,7,mB,ABE1,124,   
1970,1,8,17:12,-34.88,178.85,207,7,mB,ABE1,179,   
1970,4,12,4:01,15.08,122.01,15,7,Ms,USCGS,248,   
1970,6,15,11:14,-54.36,-64.11,3,7,Ms,USCGS,148,   
1970,7,25,22:41,32.24,131.67,45,7,Mw,P&S,235,   
1971,5,22,16:43,38.86,40.53,4,7,M,Utsu,366,Turkey: 995 Bingol 
1962,9,1,19:20,35.56,49.81,19,6.9,Ms,ABE1,347,Iran: 12225 Qazvin 
1963,4,19,7:35,35.63,96.96,15,6.9,Ms,ABE3,325,   
1964,4,24,5:56,-5.06,144.27,105,6.9,mB,ABE2,202,   
1964,9,12,22:07,-49.07,164.39,27,6.9,Ms,ABE1,166,   
1968,6,19,8:13,-5.55,-77.15,17,6.9,Ms,ABE1,111,Peru: 46 San Martin
1972,4,10,2:06,28.41,52.78,5,6.9,Ms,NEIS,353,Iran: 5010 Ghir EQ
1966,8,19,12:22,39.16,41.57,17,6.8,M,Utsu,366,Turkey: 2517 Varto 
1970,5,14,18:12,43.09,47.06,11,6.6,M,Utsu,337,Russia: many Dagestan 
1970,7,30,0:52,37.83,55.88,9,6.6,Ms,USCGS,341,Iran: 220 Karnaveh 
1965,4,29,15:28,47.31,-122.33,66,6.5,mb,ISC,29,Puget USA: Sound 
1967,7,30,0:00,10.55,-67.31,23,6.5,M,Utsu,97,Venezuela: 240 Caracas 
1968,1,15,2:01,37.78,13.03,3,6.5,M,Utsu,398,Italy: 231 ValdeBelice 
1967,12,10,22:51,17.39,73.77,4,6.4,Ms,ISC,314,India: 180 Koyna 
1971,2,9,14:01,34.4,-118.39,5,6.4,M,Utsu,43,USA: 58 San Fernando
1969,3,29,9:16,11.91,41.21,35,6.3,M,Utsu,558,Ethiopia: 40 Sardo 
1966,3,4,23:58,-38.70,178,33,6.2,M,NZ,160, NZ: Gisborne  
1972,12,23,6:29,12.35,-86.12,6,6.2,M,Utsu,75,Nicaragua: 6000 Managua 
1974,12,28,12:11,35.02,72.9,13,6.2,M,Utsu,710,Pakistan: 5300 Pattan 
1963,7,26,4:17,42.04,21.38,0,6.1,M,Utsu,383,Macedonia: 1070 Skopje 
1961,12,20,1325,4.6,-75.6,176,6.9,,,,
1962,1,7,1003,43.3,17.1,33,6,,,,
1962,3,18,1530,40.9,19.5,33,6,,,,
1962,8,21,1819,41.4,15.5,34,6.1,,,,
1962,4,18,1915,-9.8,-78.9,39,6.3,,,,
1962,6,11,715,43.6,18.3,0,6.3,,,,
1962,4,30,226,38.7,141.1,100,6.4,,,,
1962,8,28,1059,37.8,22.9,100,6.8,,,,
1962,7,30,2018,5.4,-75.9,45,6.9,,,,
1962,5,19,1458,17.2,-99.5,33,7.1,,,,
1963,5,18,1220,-8.2,115.6,65,6,,,,
1963,9,24,1630,-10.6,-78,0,6.8,,,,
1963,7,26,417,42,21.5,13,6.9,,,,
1963,3,31,227,37,57.9,33,7,,,,
1963,3,24,1244,34.4,47.8,42,7.2,,,,
1964,4,13,830,45.3,18.1,32,6,,,,
1964,5,7,545,-4,34.9,33,6,,,,
1964,6,14,1216,38,38.5,8,6.1,,,,
1964,1,18,1204,23.1,120.5,33,6.9,,,,
1964,4,2,111,5.8,95.6,132,7,,,,
1964,10,6,1431,40.3,28.2,15,7,,,,
1965,6,21,21,28.1,55.9,40,6,,,,
1965,4,5,312,37.7,21.8,34,6.2,,,,
1965,5,3,1001,13.5,-89.3,23,6.3,,,,
1965,3,9,1757,39.4,24,18,6.4,,,,
1965,3,31,947,38.6,22.4,78,7.1,,,,
1966,3,7,116,39.1,41.6,38,6,,,,
1966,6,27,1041,29.6,80.9,33,6,,,,
1966,10,29,239,38.9,21,20,6,,,,
1966,2,5,201,39.1,21.7,22,6.3,,,,
1966,3,7,2129,37.3,114.9,33,6.8,,,,
1967,1,4,558,38.4,22,10,6,,,,
1967,7,26,1853,39.5,40.4,33,6.2,,,,
1967,8,13,2215,-4.4,152.5,30,6.2,,,,
1967,11,30,723,41.5,20.5,29,6.5,,,,
1967,4,12,452,5.3,96.5,45,6.6,,,,
1967,2,19,2214,-8.5,113.5,80,6.8,,,,
1967,10,25,59,24.5,122.2,63,7,,,,
1968,9,20,6,10.7,-62.6,107,6.2,,,,
1968,2,21,145,32,130.6,3,6.3,,,,
1968,9,1,727,34.1,58.2,14,6.5,,,,
1968,9,3,819,41.8,32.4,5,6.6,,,,
1969,10,26,1536,44.9,17.3,33,6,,,,
1969,9,29,2003,-32.9,19.7,33,6.3,,,,
1969,10,1,505,-11.9,-75.1,4,6.4,,,,
1969,10,27,810,44.9,17.2,33,6.4,,,,
1969,3,28,148,38.6,28.4,9,6.5,,,,
1969,2,23,36,-3.1,118.8,13,6.9,,,,
1969,3,31,715,27.7,34,33,7.1,,,,
1970,2,5,2205,12.5,122.1,11,6.6,,,,
1970,6,5,453,42.5,78.8,20,6.6,,,,
1970,9,26,1202,6.2,-77.6,8,6.8,,,,
1970,10,31,1753,-4.9,145.5,42,7,,,,
1971,4,12,1903,28.3,55.6,37,6,,,,
1971,5,12,625,37.5,29.7,23,6.3,,,,
1971,6,11,1257,18,-69.8,57,6.5,,,,
1971,6,17,21,-25.4,-69.4,76,7,,,,
1971,2,4,1533,0.5,98.7,40,7.1,,,,
1971,10,27,1758,-15.6,167.2,49,7.1,,,,
1972,9,13,413,38,-22.4,75,6.2,,,,
1972,9,3,1648,36,73.4,36,6.3,,,,
1972,9,17,1407,38.4,20.3,33,6.4,,,,
1972,6,24,1529,36.3,69.7,47,6.6,,,,
1972,3,20,733,-6.8,-76.8,52,6.9,,,,
1972,4,24,957,23.6,121.6,33,7.2,,,,
1973,4,1,712,11.6,43,65,6,,,,
1973,11,29,1057,35.2,23.8,37,6.1,,,,
1973,4,26,2026,20,-155.2,9,6.2,,,,
1973,4,24,2130,5,-78.1,20,6.5,,,,
1973,4,14,834,10.6,-84.7,33,6.7,,,,
1973,10,5,547,-33,-71.9,8,6.9,,,,
1973,12,29,19,-15.1,166.9,13,7.2,,,,
1974,6,12,1626,10.6,-63.4,34,6.1,,,,
1974,9,23,1928,-0.3,12.8,41,6.3,,,,
1974,1,5,833,-12.2,-76.3,98,6.6,,,,
1974,5,10,1825,28.2,104,11,6.8,,,,
